,Adj Close_mean,Adj Close_stdev,Close_mean,Close_stdev,High_mean,High_stdev,Low_mean,Low_stdev,MarginPurchaseBuy_mean,MarginPurchaseBuy_stdev,MarginPurchaseCashRepayment_mean,MarginPurchaseCashRepayment_stdev,MarginPurchaseLimit_mean,MarginPurchaseLimit_stdev,MarginPurchaseSell_mean,MarginPurchaseSell_stdev,MarginPurchaseTodayBalance_mean,MarginPurchaseTodayBalance_stdev,MarginPurchaseYesterdayBalance_mean,MarginPurchaseYesterdayBalance_stdev,OffsetLoanAndShort_mean,OffsetLoanAndShort_stdev,Open_mean,Open_stdev,ShortSaleBuy_mean,ShortSaleBuy_stdev,ShortSaleLimit_mean,ShortSaleLimit_stdev,ShortSaleSell_mean,ShortSaleSell_stdev,ShortSaleTodayBalance_mean,ShortSaleTodayBalance_stdev,ShortSaleYesterdayBalance_mean,ShortSaleYesterdayBalance_stdev,Volume_mean,Volume_stdev,b_total_mean,b_total_stdev,buy_volume_mean,buy_volume_stdev,s_total_mean,s_total_stdev,sell_volume_mean,sell_volume_stdev
641,55.211740493774414,0.850338985299749,77.4582160241932,0.7932041498069341,78.3499000319838,0.6005727714293957,76.83591671753855,0.8603123577946477,256.2,196.48363975062955,0.23333333333333334,0.6260623155792926,965656.0,1.0,240.96666666666667,243.4829857871307,4735.466666666666,595.7722159796757,4720.466666666666,607.4998358639389,81.1,76.21672818464732,77.62731979658246,0.8137270462843378,68.2,85.56401112617384,965656.0,1.0,63.5,79.10261776914234,712.5333333333333,122.22554993728302,717.4333333333333,128.85214283295284,4928666.666666667,2299245.413448588,960920.5333333333,595.7722159796757,3494835.066666667,1521577.8038430787,964943.4666666667,122.22554993728302,2972127.6,1933090.8231154976
642,55.297218577067056,0.8957900331327023,77.46900951018276,0.7985281325159216,78.34147870086348,0.5991607075112182,76.83701839051176,0.860824439918537,255.5,196.64702317639575,1.2333333333333334,5.468930005247722,965656.0,1.0,252.53333333333333,242.68309594504368,4737.466666666666,594.0525771072928,4735.733333333334,595.630696352011,88.76666666666667,81.84328309950517,77.61544339321216,0.8090121745976687,61.666666666666664,82.33838227341062,965656.0,1.0,64.53333333333333,78.85199288292716,714.9333333333333,124.2655480685681,712.2666666666667,122.0502817054013,5120966.666666667,2541672.005798048,960918.5333333333,594.0525771072928,3678634.6,1710228.981882646,964941.0666666667,124.26554806856811,2964678.533333333,1930245.6616591353
643,55.373199208577475,0.9214645559330767,77.52140095117996,0.8350063846593011,78.3710955399088,0.61674749362778,76.87946405294066,0.8892217714409199,260.3,193.2620429400955,1.2333333333333334,5.468930005247722,965656.0,1.0,252.9,242.3949968187434,4743.9,589.0779674407607,4737.733333333334,593.9097187477138,87.8,82.6915331528713,77.63463893899345,0.8195545524650542,58.4,82.33975031999199,965656.0,1.0,61.43333333333333,79.15575363379047,717.5,126.24299229441718,714.6666666666666,124.09849629068515,5104800.0,2556822.535073967,960912.1,589.0779674407607,3653573.3,1741640.9226010088,964938.5,126.24299229441718,2929575.7666666666,1942535.0663654152
644,55.43018442789714,0.9582497562656891,77.59277365253502,0.8841117156257139,78.42622910471941,0.6419819310611129,76.95516489143807,0.9324094818650284,260.8666666666667,192.71807769709713,1.2333333333333334,5.468930005247722,965656.0,1.0,252.3,242.60385618221892,4751.5,581.8438438453136,4744.166666666667,588.9308889454034,90.46666666666667,83.18601230782829,77.70120482370498,0.8508599873719496,56.13333333333333,82.97142563114345,965656.0,1.0,57.9,78.63067314108845,718.7666666666667,127.5530135448309,717.2333333333333,126.08417640699362,5137833.333333333,2554618.7796216095,960904.5,581.8438438453136,3631830.2666666666,1749469.7421898802,964937.2333333333,127.5530135448309,2967269.1,1949947.5970190682
645,55.52990862528483,0.9669020229963268,77.66992999548202,0.9468821631114761,78.48862892599266,0.6828281374591582,77.05588386296458,0.9767176631162541,252.96666666666667,195.01202143905672,1.2333333333333334,5.468930005247722,965656.0,1.0,256.06666666666666,239.81428638432487,4747.433333333333,584.8688437314952,4751.766666666666,581.6913320199351,90.66666666666667,83.0028388934247,77.80043256628389,0.8772832105589979,48.6,76.15075791503642,965656.0,1.0,58.2,78.43486205895245,727.8666666666667,128.15554485920973,718.5,127.39857358590848,5058800.0,2502000.1157694506,960908.5666666667,584.8688437314952,3593130.2666666666,1732845.3297225852,964928.1333333333,128.15554485920973,2867482.533333333,1860137.7605396223
646,55.54890391031901,0.9586149957927079,77.77254384613259,1.0050458105721571,78.57317334672425,0.7261678299643565,77.16898815359204,1.0187113298524348,265.23333333333335,198.55229196279294,1.1666666666666667,5.471451508438634,965656.0,1.0,243.5,241.1270590802485,4768.266666666666,572.1899210464359,4747.7,584.7190395159147,90.93333333333334,83.04337600826797,77.90441632816385,0.9016098338413951,52.86666666666667,77.60142788116339,965656.0,1.0,48.96666666666667,65.72433724083588,723.4666666666667,125.30617216086841,727.6,128.0214421695538,5141400.0,2571852.8219808834,960887.7333333333,572.1899210464359,3554763.6,1709031.7686968076,964932.5333333333,125.30617216086841,2969563.2333333334,1959676.3520816509
647,55.59639180501302,0.8819322726697223,77.86068754057847,1.0201889266235058,78.66367442636823,0.7753325720922987,77.27321412219604,1.0265618760018536,241.7,136.2272821933738,1.1666666666666667,5.471451508438634,965656.0,1.0,248.56666666666666,239.096241383419,4760.5,569.6269650484822,4768.533333333334,572.0267496357584,84.16666666666667,80.30505774140615,78.02300679990431,0.9149937593837653,41.333333333333336,45.685078929357324,965656.0,1.0,48.1,66.08528971897891,729.7333333333333,119.39298579678483,723.2,125.15931915927712,4993766.666666667,2201272.683344065,960895.5,569.6269650484822,3471796.1333333333,1628107.3519121082,964926.2666666667,119.39298579678483,3030138.2666666666,2078738.5430854028
648,55.69136772155762,0.7883545478636004,77.93931174350479,0.9789268742611834,78.72852852975113,0.7889589922357937,77.36726874945815,0.9807247683067564,236.76666666666668,140.04129522328796,1.1666666666666667,5.471451508438634,965656.0,1.0,256.6,236.99870507430322,4739.766666666666,564.3359651920081,4760.766666666666,569.4668216143415,81.3,80.36904104579504,78.1116609024241,0.9102140149230523,40.03333333333333,46.188133521077894,965656.0,1.0,50.86666666666667,67.92274177751302,740.0666666666667,114.74527511370366,729.4666666666667,119.25334762404043,4953433.333333333,2222299.006594892,960916.2333333333,564.3359651920081,3451995.533333333,1641640.7400568689,964915.9333333333,114.74527511370366,2952290.4,2100357.170893734
649,55.74123001098633,0.7944671292172809,78.03066622614801,0.9005527930665237,78.80010514624507,0.763611886146666,77.4489741735375,0.9068324767044345,232.13333333333333,143.45484290892026,1.1333333333333333,5.475546474590669,965656.0,1.0,232.13333333333333,189.97508608586898,4738.9,564.9033698265388,4740.033333333334,564.1844576899035,80.66666666666667,80.50330185275261,78.18311039985053,0.8590862568060523,39.03333333333333,46.53473551225366,965656.0,1.0,44.2,57.41704660968997,744.7333333333333,117.26713780593181,739.8,114.62484535393621,4901066.666666667,2198717.368005223,960917.1,564.9033698265388,3381111.4,1598427.2878821597,964911.2666666667,117.26713780593181,2953525.1333333333,2099878.8835122213
650,55.824333826700844,0.9319741772020819,78.117094833059,0.8295283344177468,78.87904295037937,0.7277954846809525,77.53455544178271,0.8269120194725351,250.23333333333332,165.54980151485896,7.933333333333334,37.43309740869964,965656.0,1.0,237.56666666666666,199.46180748122723,4743.9,559.3696791309254,4739.166666666667,564.7524378804876,86.03333333333333,90.63434811080876,78.25400976748668,0.7962445161584268,35.4,43.33239609950202,965656.0,1.0,43.266666666666666,54.79676137757837,752.1,128.14091112306122,744.4666666666667,117.1602890630325,5066833.333333333,2415995.633749956,960912.1,559.3696791309254,3455394.566666667,1691620.266506207,964903.9,128.14091112306122,2950152.933333333,2099881.214339449
