,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,bs_ratio,buy_volume,sell_volume,y_label
5,100.98968204974153,99.84774046490581,100.47548528069886,100.35868076166108,22212817.16761845,79.52760140209867,1267.5341670579496,66.8675111765827,3698351.000000001,1787.0767125652837,128108.32050184562,128694.73055852954,272.29159381599493,23.29478857719911,3698351.000000001,38.32747692479285,309.81234696857484,295.9329994662793,3570242.679498154,3698041.187653032,1.035795207946596,1.3866332244019215,14588631.779531019,11733360.375689773,1
6,101.18434303689642,99.85572709037551,100.75527515622598,100.46203443033924,23699339.238783576,79.60950071510659,1677.5391873218628,49.82091793890558,3698351.000000001,2182.5790185113233,127553.45975271726,128108.32050184562,301.08457479816286,30.8948139484571,3698351.000000001,36.30682440083763,314.2800818021288,309.81234696857484,3570797.540247283,3698036.719918198,1.0356330270184622,1.349718404574839,14232586.428251551,11528986.296896385,1
7,101.12011255651956,99.91285030456979,100.6169966178507,100.39151397638392,21541588.14212738,79.55361764321168,1962.4500212877256,53.24553869329316,3698351.000000001,2052.483353387506,127410.18088192417,127553.45975271726,275.27410294189224,27.651034500210656,3698351.000000001,33.54850321279448,319.40444302619755,314.2800818021288,3570940.819118076,3698031.595556974,1.0355900231060846,1.175003976322556,12381940.163000552,11046663.422212847,1
8,101.45474019547541,100.14601569640854,100.80072467206955,100.90389309918592,26449805.705408506,79.959643628495,3495.935429336032,23.450216382533814,3698351.000000001,3159.4633816202304,127723.20271325746,127410.18088192417,400.89680144423954,24.503401776445507,3698351.000000001,56.10636180225453,351.0074030520066,319.40444302619755,3570627.7972867424,3697999.9925969485,1.0356719792404065,2.301349756266636,15467255.641196325,9516048.674774403,1
9,101.77438910223496,100.46408009732683,101.23892648023218,101.17777496995836,26174094.4524127,80.17667475475679,3456.337056718891,18.085029101232546,3698351.000000001,2997.975030019459,128163.47971085564,127723.20271325746,353.7778115998657,32.184490837532906,3698351.000000001,50.80055380588136,369.62346602035507,351.0074030520066,3570187.5202891445,3697981.37653398,1.0357945284494625,2.005819598299171,14491597.09581197,10530661.683310695,1
10,101.81541324886848,100.55793541247675,101.42923761837037,101.14736303643406,24351649.592310924,80.15257682192285,3654.5109387549483,28.62043438959622,3698351.000000001,3434.3172792171267,128355.05293600386,128163.47971085564,344.1706643330425,40.523684832905815,3698351.000000001,108.59509510142328,437.4081125625702,369.62346602035507,3569995.9470639965,3697913.5918874377,1.03583109807045,1.7731112474977775,12496570.35460446,9705452.27661375,1
11,102.6806861626571,101.30613615894902,101.87923046038605,102.21359262923775,50217646.562284335,80.99749313499731,4435.685591307238,33.98324825072363,3698351.000000001,6467.903507093382,126288.85177196699,128355.05293600386,739.7681759558154,40.491147277187714,3698351.000000001,216.4798490935978,613.1620320973893,437.4081125625702,3572062.148228033,3697737.837967903,1.0351838654641214,4.12728264023251,34364318.107062586,9449633.933533251,1
12,104.09799896145933,102.7338279810657,103.16875252621094,103.64029556024045,65961380.643402904,82.12806045082912,4983.084736816378,33.128944624682276,3698351.000000001,7796.935212334871,123441.87235182384,126288.85177196699,827.6170170808598,62.75040171195543,3698351.000000001,310.0593211842026,859.9919643691177,613.1620320973893,3574909.1276481766,3697491.008035631,1.034291753267405,4.600839094802157,46401140.256915,10991049.714221746,1
13,105.00858191575887,103.58581280448752,104.36202982251848,104.32328089729909,61729669.68671865,82.66928303220844,4876.404345338631,27.940872880338873,3698351.000000001,6954.348278816585,121335.98754546553,123441.87235182384,673.1461898536892,123.47815975060624,3698351.000000001,254.2056261693343,989.4669780575432,859.9919643691177,3577015.012454535,3697361.5330219427,1.0336462523137424,3.6372334254786622,40596679.67045911,11888798.035195783,1
14,105.41257023089723,104.09403975230757,104.75904765243057,104.81868145639676,59514968.958939165,83.06185612045618,5206.359835780474,26.10622765184381,3698351.000000001,6266.763452896465,120249.4777006977,121335.98754546553,731.6110572728999,130.51905363486685,3698351.000000001,220.08383209535253,1076.5725163194418,989.4669780575432,3578101.5222993027,3697274.4274836807,1.033306946934158,3.2550058655265173,37577549.95466688,12576034.608695857,1
15,105.96703874189981,104.50527357881164,105.23768565122495,105.13760717945695,55596332.919547975,83.3145843534117,5036.551868497684,96.51492064431157,3698351.000000001,5662.120373921188,119527.39427462989,120249.4777006977,716.5236561439156,138.36677083872803,3698351.000000001,166.93113838899407,1097.4936482432518,1076.5725163194418,3578823.6057253703,3697253.506351757,1.0330917750539361,3.41539415051861,34107057.03984276,10781445.665612401,1
16,106.02791005410413,104.6836920812835,105.55125437420816,105.10049230949824,41129743.52697809,83.28517539340675,4843.975833149324,82.36130585040667,3698351.000000001,3728.5857865166636,120560.42301541215,119527.39427462989,510.58328514673514,118.57460933822739,3698351.000000001,97.63711881023796,1070.0116419285591,1097.4936482432518,3577790.576984588,3697280.9883580715,1.0333979824117268,2.406033556752458,21352253.311488375,9138821.970352596,1
17,106.02406829434396,104.73888126381138,105.60432047418527,105.04252782848707,30000571.031307288,83.23924082831687,4068.455910715707,75.18025652533326,3698351.000000001,2986.557893897144,121567.14077570538,120560.42301541215,410.2495750072568,89.98873132087131,3698351.000000001,44.483303859459966,1017.5329302501357,1070.0116419285591,3576783.8592242952,3697333.46706975,1.0337033196220475,2.303419212341706,14386392.387471016,7332820.045258492,1
